tnew ca_PZAP ca_PSYK
21.36014 0.13476 0.13240
21.45618 0.13491 0.13241
21.55222 0.13506 0.13242
21.64826 0.13520 0.13244
21.74430 0.13535 0.13245
21.84034 0.13550 0.13247
21.93637 0.13566 0.13248
22.03241 0.13581 0.13250
22.12845 0.13596 0.13251
22.22449 0.13612 0.13253
22.32053 0.13628 0.13254
22.41657 0.13644 0.13256
22.51261 0.13660 0.13257
22.60864 0.13677 0.13259
22.70468 0.13693 0.13260
22.80072 0.13710 0.13261
22.89676 0.13727 0.13263
22.99280 0.13745 0.13264
23.08884 0.13762 0.13266
23.18487 0.13780 0.13267
23.28091 0.13798 0.13269
23.37695 0.13816 0.13270
23.47299 0.13835 0.13272
23.56903 0.13853 0.13273
23.66507 0.13872 0.13275
23.76110 0.13890 0.13276
23.85714 0.13909 0.13278
23.95318 0.13928 0.13279
24.04922 0.13947 0.13281
24.14526 0.13966 0.13282
24.24130 0.13985 0.13284
24.33733 0.14005 0.13285
24.43337 0.14024 0.13287
24.52941 0.14043 0.13288
24.62545 0.14063 0.13290
24.72149 0.14082 0.13292
24.81753 0.14101 0.13293
24.91357 0.14121 0.13295
25.00960 0.14140 0.13296
25.10564 0.14160 0.13298
25.20168 0.14180 0.13299
25.29772 0.14199 0.13301
25.39376 0.14219 0.13302
25.48980 0.14239 0.13304
25.58583 0.14259 0.13305
25.68187 0.14278 0.13307
25.77791 0.14298 0.13308
25.87395 0.14317 0.13310
25.96999 0.14336 0.13312
26.06603 0.14356 0.13313
26.16206 0.14375 0.13315
26.25810 0.14394 0.13316
26.35414 0.14413 0.13318
26.45018 0.14433 0.13319
26.54622 0.14453 0.13321
26.64226 0.14473 0.13322
26.73830 0.14493 0.13324
26.83433 0.14514 0.13326
26.93037 0.14535 0.13327
27.02641 0.14557 0.13329
27.12245 0.14578 0.13330
27.21849 0.14600 0.13332
27.31453 0.14622 0.13333
27.41056 0.14645 0.13335
27.50660 0.14667 0.13337
27.60264 0.14689 0.13338
27.69868 0.14712 0.13340
27.79472 0.14734 0.13341
27.89076 0.14756 0.13343
27.98679 0.14778 0.13344
